time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	-9.25596e+61	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735374	0.629505	7.20296	3.57329e-17	-1.18722e-17	radar	74.6929	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494945	7.20603	-0.127199	-0.0118702	lidar	0.221036	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25803	0.53308	7.19127	0.122758	0.0307375	radar	1.82493	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.6158	0.595364	7.20475	0.161566	0.0463977	lidar	0.167442	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85111	0.561871	6.01144	0.0252848	-0.235482	radar	7.70308	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.163	0.591218	6.01103	0.0399458	-0.179276	lidar	0.254123	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37892	0.637079	5.60918	0.0554589	-0.346061	radar	6.30132	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65631	0.654086	5.6065	0.0440952	-0.323697	lidar	0.00870416	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92279	0.647604	5.54153	-0.00397063	-0.478446	radar	0.42632	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15878	0.643083	5.49741	-0.0174045	-0.442756	lidar	1.20512	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44427	0.539052	5.52964	-0.165966	-0.857748	radar	1.25925	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74732	0.426697	5.59513	-0.284725	-1.07871	lidar	2.06997	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02828	0.511013	5.55548	-0.14721	-0.550002	radar	4.1705	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30225	0.50295	5.53774	-0.140019	-0.465859	lidar	0.379485	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56318	0.538371	5.45905	-0.100233	-0.330732	radar	2.12421	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75351	0.644433	5.30166	0.000521892	-0.0835391	lidar	13.0303	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00605	0.642747	5.23924	-0.00848943	-0.0969714	radar	2.02099	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30652	0.64062	5.28724	-0.0139692	-0.0979964	lidar	2.38207	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.56425	0.648813	5.29979	-0.00715384	-0.0740922	radar	1.7079	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85731	0.666135	5.33125	0.00238086	-0.0509558	lidar	1.53553	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10077	0.590882	5.2745	-0.0546142	-0.147834	radar	3.77823	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35667	0.707272	5.24814	0.0254817	-0.00314623	lidar	4.02135	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.60775	0.739069	5.21123	0.0405637	0.0197972	radar	0.717899	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.85521	0.738209	5.19751	0.034663	0.00902027	lidar	0.314991	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.1	0.719832	5.12956	0.0158477	-0.0254092	radar	3.26994	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
