time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	-9.25596e+61	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.60471	0.436251	1.62964	-0.183851	-0.149236	radar	238.546	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.722764	0.467687	1.75675	-0.154566	-0.120773	lidar	9.84544	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	0.961218	0.426294	3.9438	-0.112555	-0.0564424	radar	45.4025	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.21589	0.446632	4.16885	-0.0837702	-0.0334945	lidar	11.2904	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.51403	0.45559	5.07099	-0.0455188	0.00703389	radar	6.83181	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.82466	0.476788	5.24519	-0.0261607	0.0194667	lidar	8.39361	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.07938	0.520866	5.16307	0.0244956	0.0723754	radar	1.9569	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.38389	0.54986	5.28531	0.0381199	0.0783497	lidar	4.55144	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.65569	0.572458	5.2845	0.0497	0.085737	radar	0.921043	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.93372	0.594233	5.31871	0.0576711	0.088734	lidar	0.421233	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.21414	0.556739	5.28482	0.0251411	0.0450495	radar	3.44304	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.54302	0.523437	5.43962	-0.00376617	0.00487706	lidar	8.84588	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.82992	0.555299	5.48496	0.0141824	0.0258828	radar	2.39371	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.13717	0.562266	5.55912	0.0144861	0.0234325	lidar	1.58613	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.39907	0.587983	5.29823	0.0264684	0.0367313	radar	1.55677	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.61035	0.657668	5.18071	0.0642341	0.0860478	lidar	6.85536	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.86553	0.664643	4.9752	0.0626084	0.077505	radar	1.87074	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.18117	0.670978	5.11868	0.0575973	0.0639962	lidar	6.11886	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.44529	0.682455	5.32017	0.0590759	0.0619417	radar	0.955091	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.76251	0.69812	5.43002	0.0591835	0.057047	lidar	3.59711	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.00377	0.655674	5.07067	0.0326295	0.0146889	radar	4.04634	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.26841	0.73258	5.10039	0.0678994	0.0637936	lidar	3.0195	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.52118	0.761724	5.04884	0.0769377	0.0720568	radar	0.275758	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.77487	0.764058	5.05166	0.0714591	0.0592299	lidar	0.153177	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.01845	0.757	4.80494	0.0613872	0.0407078	radar	1.93115	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.23545	0.823007	4.76447	0.0907887	0.0787613	lidar	1.63069	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.53737	0.839408	5.26753	0.0889225	0.0706158	radar	5.34672	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.80209	0.822635	5.26661	0.071413	0.041891	lidar	0.663735	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.0514	0.841323	4.94713	0.0735897	0.0416546	radar	2.41476	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.28956	0.854691	4.92947	0.0734744	0.038738	lidar	0.104329	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.56397	0.937846	5.36361	0.107614	0.0818795	radar	5.57929	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.8147	0.993269	5.33591	0.125635	0.100362	lidar	0.456013	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.10822	1.03344	5.32128	0.132374	0.10253	radar	7.08663	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
